"ano";"veic_s";"cel_s";"tran_s";"cole_s"
2003;23901;9163;11064;3474
2004;23716;7927;14390;3682
2005;24278;4741;24393;5224
2006;24413;5426;30194;6152
2007;21414;4955;37939;6161
2008;17615;5481;41984;6150
2009;14834;5599;42209;5678
2010;11791;5116;36288;4772
2011;9727;3701;30083;3792
2012;10913;2524;26288;2684
2013;12372;3314;30412;3587
2014;13725;4745;39686;4412
2015;15478;7082;37014;4471
2016;19314;10120;45029;7048
2017;25894;13650;45518;8749
2018;24798;14622;44903;9143
2019;18466;14433;40456;9775
2020;12333;8871;25356;5373
2021;6164;4478;12553;3709
